Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
3.625553404;58.39792022;8.328774165;58.40918636;5031.49228;2281.401762;15.61034717;91408959392;18.1097505;6.829014842;48
0;53.81299179;8.840078009;36.15683014;6556.0384;4147.824369;14.49746544;16475832409;19.79017552;10.64823699;77
0.756176374;88.44822325;28.78085502;51.50802461;1231.718985;871.6665008;14.80345208;13047013230;8.253465917;4.801016887;11
5.349989169;64.18667185;10.84329972;77.29237981;3865.052877;2425.851842;10.71391242;30940439900;19.24185343;10.59308704;37
6.603141269;66.46672371;15.28670659;21.91635094;2049.11301;1102.468199;12.67065868;80181261538;16.31211976;6.777493605;8
0.776053517;61.73157648;19.58060679;54.99218257;922.1679584;546.7266135;10.87620991;6.03193E+11;28.33482571;3.867798086;16
3.493964091;53.71241488;15.18534822;43.05010198;2335.594002;1065.64852;8.129486264;2.25747E+11;19.50605922;5.487429138;15
0;87.51080604;25.80443937;51.82423525;811.4265116;429.787819;18.13131858;14738442157;15.83820913;6.197313239;11
2.868622046;61.64760118;3.387486496;60.24329448;8967.02919;7075.369643;11.03379037;7.16378E+11;19.77790208;4.039455569;109
5.61238017;86.77276007;33.82706055;40.65471028;1673.289181;795.3862287;0.951746573;97252235902;28.37089582;9.804323771;3
0;58.44728274;6.867910699;90.17468363;5558.082643;4267.292687;14.81471071;13117829600;21.00354424;1.131364218;121
0;70.39073226;13.00894327;44.87160666;3489.613282;1365.416418;7.936374297;6543430199;17.74617348;15.14432465;11
0.880382551;61.77329956;7.312919344;83.20147561;3464.398017;2145.643889;11.51871663;56867481145;16.92106667;1.803724665;32
8.243118839;42.39248735;5.502946052;22.87149142;7767.405042;2975.125353;17.91609718;4.17177E+11;18.41502839;13.65713681;81
11.32465267;62.62585109;4.504559007;53.28590943;18034.73042;9609.968686;24.48451914;2.16549E+11;18.2999779;2.316558662;43
0.945547504;57.70897471;3.052348605;61.85827913;6266.014801;3751.282251;19.05788804;1.70647E+11;15.98147788;5.793570794;560
0.243493133;55.0733347;20.53745681;81.20420711;2887.370342;2373.579844;11.20590769;7360280000;37.79568933;3.156943939;13
4.428405556;59.7309669;8.36248661;99.9999999;7962.412723;4277.721573;11.11463607;1.46362E+11;15.89378728;18.36335425;93
1.598800692;50.89021807;5.665311576;64.71151398;9346.039445;3637.462429;18.46758392;6.49543E+11;17.32023332;7.752060761;95
4.218745724;57.59310386;7.910983162;62.66314691;5225.245253;2782.623185;15.68159812;1.13017E+11;18.83175961;7.283033407;56
0;52.36301808;8.852408768;40.9838933;6747.110261;4404.711884;13.9764073;17823588236;19.87815645;13.35034943;83
1.44459379;88.66560281;23.58975972;50.01912315;1221.157285;922.8552737;14.89503125;14789615105;9.34926236;-2.890620394;13
9.167339099;63.40730759;9.691921337;80.58646178;4112.673838;2691.277685;10.88435422;34751628400;19.70155167;4.261845701;40
8.322058309;64.71922331;14.26993612;24.47396901;2094.258132;1062.158092;12.75499691;78575767532;16.39315887;11.66990834;8
1.033919006;60.83920225;17.81469065;58.14071227;979.283839;627.7742417;10.40470235;7.04169E+11;30.70814142;5.725413227;20
4.785015158;53.41561743;14.3357803;46.73119868;2420.39729;1150.261367;8.321868006;2.45051E+11;22.44861697;8.550727032;17
0;86.38070166;24.92904109;55.51766639;829.9529681;451.6687666;17.86006596;15953749660;16.25922348;7.126841556;12
3.436663975;60.75782871;3.339190436;65.03969147;9190.741416;7484.486399;10.4872898;7.70594E+11;20.47645959;7.961710977;125
8.631214104;86.70339574;27.2304536;49.7484947;1781.879018;1007.874342;4.787637352;1.26528E+11;26.06325442;22.36834148;3
0;57.93082427;6.438375573;91.94662031;5865.941644;4592.152614;14.43032252;14156093700;20.40492716;1.965004598;129
0;68.79737208;13.93335049;50.18216366;3569.37377;1679.49512;7.587244004;8342338549;18.30352661;11.83500522;12
0.975209515;60.90666412;6.934433062;88.42572836;3602.99803;2417.034363;11.2562792;63395270900;16.78855814;6.279038577;32
8.371855688;41.66325834;4.904441948;27.50414622;8360.25165;4102.364833;16.97167797;5.78245E+11;18.38529929;20.25514958;90
13.3629096;60.41537698;3.901150162;59.17745738;18901.01265;11185.13704;22.85909253;2.60462E+11;19.15650993;11.05648382;47
2.205071098;56.26532572;2.763467723;65.89578516;6472.107034;4833.627517;19.15756425;2.24279E+11;16.45999013;6.527026104;654
0.340275153;53.8499697;18.84525779;83.88678088;3062.673883;2673.787283;11.0312184;8226134275;37.91978994;3.303491113;13
5.328598388;59.1631553;7.938754274;110.3175111;8577.866538;5109.852245;12.14186124;1.76153E+11;17.3511469;10.3175112;112
1.910021746;50.0762423;4.651168823;69.52037249;9535.418574;4790.436959;18.89000142;8.65856E+11;17.05618345;7.431225467;124
4.744341403;56.63456705;7.527266702;65.64164917;5404.122236;3414.465158;13.95617207;1.4196E+11;20.95615432;4.753196107;65
0;51.03475717;8.622236946;46.31726072;6916.629941;4676.379366;13.51288119;19287410091;19.95180243;13.01332544;86
3.024038542;88.70543097;22.59324627;50.67002464;1216.187142;931.2000763;14.42744504;16439389625;9.166938071;1.301305273;13
12.12082128;62.67802014;9.481169299;86.81797998;4258.424076;3002.138604;10.71784492;39691563800;20.42242427;7.732711011;45
10.16346406;63.23792119;13.9818013;25.9944705;2148.755141;1186.393313;12.73909006;89346865557;17.912052;6.212729509;10
1.148482476;59.94174324;17.62020695;61.40932687;1040.312316;714.8610154;10.3661402;8.14483E+11;32.75533704;5.621903263;25
5.708002755;53.09722662;13.12661864;53.42861458;2524.222446;1263.287332;8.109507721;2.71958E+11;23.64051177;14.33178708;19
0;85.55579475;24.2362747;58.23783757;855.2249933;511.6163943;17.38021155;18731703508;18.69911176;4.899649719;13
4.572691708;59.90324307;3.073204185;68.86007183;9270.656892;8277.671564;10.52170667;8.59157E+11;20.70370715;5.873921411;129
10.41791868;86.6151583;26.08928283;59.62779691;1848.193854;1268.383462;4.54454697;1.62767E+11;24.96612489;19.85849477;4
0;57.50593446;6.015579606;93.55414265;6172.857063;4916.907612;13.94465477;15207493900;20.70075339;1.748321296;129
0;67.32467324;12.71395283;56.68217105;3586.976353;1843.634108;8.118924169;9363307348;19.14679741;12.95282412;12
0.811121311;60.08311458;6.854264623;91.52392041;3796.204081;2729.499172;11.44451224;71336034732;17.062082;3.5037224;35
9.285109566;40.83926667;4.255916006;32.80678943;8929.301054;5323.463083;16.87153894;7.45491E+11;17.7553986;19.27943213;86
16.95048185;58.32428905;3.220807175;71.1014859;19381.86136;13791.45476;21.34027589;3.31174E+11;19.31236347;20.14961278;56
1.630990351;55.02217359;2.389623573;69.48651446;6729.828309;5383.657217;19.47818947;2.52831E+11;17.24644259;5.449103139;724
0.39270005;52.61953224;17.70839284;85.96773151;3263.901713;2972.743265;10.52724933;9159095071;38.07020022;2.480665739;14
4.777703985;58.74958429;6.935572291;125.4762982;9174.502925;5919.012338;12.42941537;2.24835E+11;18.33118672;13.74105249;124
1.904850871;49.24145143;4.370043778;74.22987308;9805.724662;5886.463682;19.03891694;1.07992E+12;17.21029957;6.774274099;154
5.062104666;55.6641134;7.186769531;69.45389355;5693.264528;3741.092837;13.8806197;1.57371E+11;22.57759353;5.807660873;74
0;49.80274149;8.429828197;52.33123766;7321.032656;5227.465952;13.16504106;22052841282;20.2930668;12.98431049;93
5.771261919;88.70681859;22.62521288;51.55371883;1208.264509;949.9758279;13.59161479;17106471364;9.788096316;1.744017698;14
