Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.014090642;0.612498627;0.555590718;0.026237716;0.134929515;0.094026987;0.373486849;0.002588667;0.930184293;0.062362382;0.012682927
0.256266264;0.664298529;0.226226644;0.032310784;0.37209099;0.169457654;0.370444815;0.051476645;0.391159721;0.362750347;0.090731707
0.092520587;0.565976055;0.153261163;0.020908797;0.43674916;0.14409443;0.615514594;0.228449286;0.42626578;0.153134481;0.092682927
0.244133513;0.640522264;0.214012322;0.020246954;0.244180595;0.110230829;0.522659193;0.039748951;0.463465737;0.143869299;0.054634146
0;0.582355814;0.239480291;0.013242217;0.31529877;0.174488248;0.465826104;0.006268694;0.489218459;0.263723273;0.08097561
0.083596827;0.986095363;0.638163316;0.016161571;0.057065822;0.036557987;0.496443344;0.005201622;0.230093356;-0.057101417;0.012682927
0.530502391;0.705184988;0.262191253;0.026038117;0.192189093;0.106612269;0.362769646;0.012222416;0.484872064;0.08418865;0.03902439
0.481587054;0.719775471;0.386038258;0.007907731;0.09786664;0.042076329;0.425117156;0.027635704;0.403449683;0.230527781;0.007804878
0.059831593;0.676623779;0.481932931;0.01878572;0.045762849;0.024868648;0.346783108;0.247661671;0.755753667;0.113100015;0.019512195
0.276902813;0.594062308;0.387819511;0.015099216;0.113107428;0.045566452;0.277363364;0.086186328;0.552479695;0.168911363;0.016585366
0;0.960683813;0.674394301;0.017938193;0.038784478;0.017892406;0.595266349;0.005611057;0.400153419;0.140783879;0.011707317
0.198875425;0.675718783;0.090333639;0.021014834;0.429491938;0.296490429;0.349535703;0.271023856;0.503943212;0.157275919;0.12195122
0.499477512;0.964272658;0.736653394;0.016074128;0.083268872;0.039925932;0.159569366;0.044500874;0.641439019;0.441865006;0.002926829
0;0.644278225;0.174174521;0.029708674;0.274120937;0.181913525;0.480954853;0.004978807;0.502182738;0.03881677;0.125853659
0;0.765130642;0.376932756;0.01621425;0.166800173;0.066531516;0.252878743;0.002934065;0.45046547;0.23378911;0.011707317
0.056434149;0.677374057;0.187594145;0.028571046;0.168371466;0.095748395;0.375165704;0.022296606;0.413180798;0.124036349;0.031219512
0.484468766;0.463358333;0.132677695;0.008886805;0.390682375;0.162511072;0.565656857;0.203373229;0.452477966;0.400120939;0.087804878
0.773294783;0.671910202;0.105536086;0.0191207;0.88326199;0.443087997;0.761881204;0.091606495;0.47145812;0.218410171;0.045853659
0.127604693;0.625755367;0.074758868;0.021291445;0.302447612;0.191479311;0.638511266;0.078880655;0.405094458;0.128935104;0.63804878
0.019691295;0.598892961;0.509812408;0.027104476;0.143121614;0.105919404;0.367664549;0.002893195;0.933238515;0.06525728;0.012682927
0.308359291;0.657983607;0.214763601;0.035644452;0.400851722;0.202421677;0.404681675;0.061954369;0.427026589;0.20381248;0.109268293
0.110530558;0.556923415;0.125826009;0.022462577;0.445599024;0.18976836;0.629593541;0.304528237;0.419767286;0.14679669;0.12097561
0.274549074;0.629861888;0.20363181;0.021209331;0.252539684;0.135260616;0.465151675;0.049928427;0.51574891;0.093894803;0.063414634
0;0.567583548;0.233253555;0.01496547;0.323220583;0.185250083;0.450377029;0.006783531;0.49103095;0.257065689;0.083902439
0.17499731;0.986538313;0.611205079;0.016371882;0.056833562;0.036888558;0.480858948;0.00578186;0.225606199;0.02570603;0.012682927
0.701416693;0.69707421;0.256489871;0.02805157;0.199000138;0.118926713;0.357219981;0.013959829;0.502613357;0.152752246;0.043902439
0.588146891;0.703301155;0.378243474;0.008399017;0.100413336;0.046997782;0.424586989;0.031423982;0.440830944;0.122726478;0.009756098
0.066461237;0.66664268;0.47667165;0.019841835;0.048614767;0.028318503;0.345497852;0.286459956;0.806136905;0.111055275;0.024390244
0.330314945;0.590521322;0.355108597;0.017263204;0.117959275;0.050043862;0.270285511;0.095649727;0.581813247;0.283110627;0.018536585
0;0.951509603;0.655653199;0.018817102;0.039965463;0.020267171;0.579273061;0.006588085;0.460201159;0.096787853;0.012682927
0.264615922;0.6662145;0.083138031;0.022249229;0.433226463;0.327911665;0.350682799;0.302172147;0.509535969;0.116033651;0.125853659
0.60287186;0.963291325;0.705781807;0.019266208;0.086367827;0.05024574;0.151467295;0.05724641;0.614437721;0.392285405;0.003902439
0;0.639552809;0.162736809;0.030228077;0.288463381;0.194778368;0.464767809;0.005348593;0.509463275;0.0345364;0.125853659
0;0.748752008;0.343944932;0.018314454;0.167622758;0.073033718;0.270599356;0.003293147;0.471219087;0.255870544;0.011707317
0.046938571;0.668214943;0.185425383;0.029572096;0.177400166;0.108126375;0.38143941;0.025089434;0.419912455;0.069212656;0.034146341
0.53731762;0.454194301;0.11513341;0.010600131;0.417274586;0.210883656;0.562319277;0.262194938;0.43697557;0.380846582;0.083902439
0.98090308;0.648654148;0.087131069;0.022973447;0.9057325;0.546334662;0.711259866;0.116476451;0.475293809;0.398036161;0.054634146
0.094383362;0.611929638;0.064645428;0.022451637;0.314491168;0.213268186;0.649197531;0.088922614;0.424449727;0.107641775;0.706341463
0.022725058;0.585208639;0.479057304;0.027776848;0.152525178;0.117762246;0.350867532;0.003221324;0.936940241;0.049003158;0.013658537
0.276479725;0.653384073;0.187624964;0.040542375;0.428733098;0.234475743;0.414265699;0.079076205;0.451146209;0.271441235;0.12097561
0.110231326;0.547639281;0.118220858;0.023984254;0.45823068;0.233186361;0.634556815;0.379816198;0.423560216;0.133819249;0.150243902
0.292937635;0.619068978;0.194420491;0.022441097;0.266051574;0.148199644;0.462633555;0.055348595;0.555653918;0.114724738;0.072195122
0;0.553881674;0.228048406;0.016908633;0.3421187;0.207080826;0.438783706;0.007756154;0.499429758;0.256492527;0.090731707
0.333975673;0.986553745;0.612069857;0.016657411;0.05646333;0.037632341;0.453001178;0.006016478;0.240893436;0.034451387;0.013658537
0.738889726;0.687511154;0.254514137;0.030295951;0.204312013;0.13187041;0.353355392;0.015817857;0.513214494;0.158050274;0.048780488
0.601054244;0.689825133;0.358100174;0.009017183;0.105401262;0.055358054;0.409536343;0.03796931;0.461143387;0.145389259;0.010731707
0.070712255;0.65855238;0.454738388;0.021508735;0.051727709;0.031958723;0.326711045;0.328113405;0.826552953;0.16595243;0.034146341
0.29597956;0.582926134;0.350974536;0.019695145;0.122804469;0.062978393;0.287538875;0.122759358;0.593884374;0.278283478;0.024390244
0;0.944281043;0.555110021;0.023244791;0.041394706;0.027173397;0.478177719;0.009058388;0.47805206;0.464815081;0.014634146
0.280457905;0.656966815;0.083208954;0.023670782;0.446155815;0.359231389;0.344774046;0.337779388;0.530200006;0.126212925;0.145365854
