Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.198875425;0.825782581;0.146996017;0.021014834;0.429491938;0.296490429;0.349535703;0.271023856;0.503943212;0.157275919;0.290023202
0;0.787359697;0.283426652;0.029708674;0.274120937;0.181913525;0.480954853;0.004978807;0.502182738;0.03881677;0.299303944
0;0.935051049;0.613366343;0.01621425;0.166800173;0.066531516;0.252878743;0.002934065;0.45046547;0.23378911;0.027842227
0.056434149;0.827805459;0.305263824;0.028571046;0.168371466;0.095748395;0.375165704;0.022296606;0.413180798;0.124036349;0.07424594
0.484468766;0.566261069;0.215900664;0.008886805;0.390682375;0.162511072;0.565656857;0.203373229;0.452477966;0.400120939;0.208816705
0.773294783;0.82112819;0.171734301;0.0191207;0.88326199;0.443087997;0.761881204;0.091606495;0.47145812;0.218410171;0.109048724
0.019691295;0.731895262;0.829595642;0.027104476;0.143121614;0.105919404;0.367664549;0.002893195;0.933238515;0.06525728;0.030162413
0.308359291;0.804108773;0.349475503;0.035644452;0.400851722;0.202421677;0.404681675;0.061954369;0.427026589;0.20381248;0.259860789
0.110530558;0.680605109;0.204751213;0.022462577;0.445599024;0.18976836;0.629593541;0.304528237;0.419767286;0.14679669;0.287703016
0.274549074;0.769741776;0.331361222;0.021209331;0.252539684;0.135260616;0.465151675;0.049928427;0.51574891;0.093894803;0.150812065
0;0.693632646;0.379563404;0.01496547;0.323220583;0.185250083;0.450377029;0.006783531;0.49103095;0.257065689;0.199535963
0.701416693;0.851880628;0.417374855;0.02805157;0.199000138;0.118926713;0.357219981;0.013959829;0.502613357;0.152752246;0.104408353
0.066461237;0.814690855;0.775667123;0.019841835;0.048614767;0.028318503;0.345497852;0.286459956;0.806136905;0.111055275;0.05800464
0.330314945;0.721664447;0.577852834;0.017263204;0.117959275;0.050043862;0.270285511;0.095649727;0.581813247;0.283110627;0.044083527
0.264615922;0.814167585;0.135286916;0.022249229;0.433226463;0.327911665;0.350682799;0.302172147;0.509535969;0.116033651;0.299303944
